,Human,,,QQNVP,,,QQNVT,,,QQNVP N32Q,,,QQNVP N66Q,,,QQNVT N32Q,,,QQNVT N66Q,,
SIVmus1085 1-54,8.776223774,6.638176638,7.019047619,0.277238403,0.317460317,0.582205822,0.536512667,0.415738679,0.583941606,9.493791786,5.393081761,5.339578454,0.203726708,0.347709796,0.165548098,0.502923976,0.913461538,0.374517375,0.44137931,0.444964871,0.377041943
SIVmus1085 4-12,7.435897436,6.068376068,7,0.20819849,0.410375532,0.557605576,0.576254347,0.527097253,0.738037307,8.987583572,5.581761006,4.808743169,0.077846791,0.394516884,0.319590924,0.32748538,0.841346154,0.643500644,0.221609195,0.382513661,0.397350993
SIVlst,41.02564103,45.58404558,49.80952381,18.51132686,21.26209834,27.14227142,16.40337805,21.41796585,18.72668289,30.63037249,31.44654088,30.44496487,19.54451346,20.51487797,15.7430489,27.15789474,39.74358974,19.17631918,21.14942529,28.1030445,20.12362031
SIVagm,31.77156177,28.23361823,30.76190476,9.298813376,8.819202478,9.192291923,7.004470939,6.763177431,5.182481752,18.8443171,14.82704403,13.96565183,9.556935818,9.12069542,5.509747523,6.362573099,7.548076923,2.818532819,15.02528735,15.19125683,9.721854305
SIVwrc GM05,42.77389278,40.26590693,47.23809524,31.1218986,29.96515679,38.9503895,34.7739692,35.04083148,33.33333333,36.67621777,33.25471698,35.12880562,29.64803313,27.61618188,24.41674656,35.85964912,38.04487179,22.13642214,35.95402299,35.67525371,32.58278146
SIVmus11,24.6037296,23.0294397,23.3047619,2.049622438,2.036391792,3.288232882,0.34177844,0.482553823,0.892133009,21.48042025,14.11949686,14.87900078,2.683229814,2.106318957,1.975071908,1.988304094,2.243589744,1.351351351,4.708045977,4.145199063,3.090507726
SIVascRT11,26.10394685,32.28869896,29.61904762,14.82075976,13.40301974,11.97211972,8.085561497,11.95248701,8.880778589,19.39759036,22.09119497,18.93832943,9.271383316,13.70779004,7.766059444,10.04016064,20.60897436,7.477477477,8.799449604,17.59562842,11.02869757
SIVsmmFTq,51.1137163,63.98305085,61.71428571,12.90529695,3.400537634,6.248462485,7.144385027,2.180555556,4.776966748,19.67202142,17.14619883,16.76034348,8.546286519,1.682242991,4.135506552,11.21055651,3.966005666,4.993564994,15.02579979,10.25348542,9.783664459
SIVsmmSL92b,50.80109418,70.33898305,56.66666667,25.04012841,14.70430108,13.55473555,11.56506239,7.152777778,8.167072182,29.78580991,39.76608187,27.40046838,16.69834565,11.0384216,10.46340684,18.31325301,11.16147309,9.716859717,22.02958376,22.40811153,15.94701987
