,Human,,,QQNVP,,,QQNVT,,,QQKVP,,,QQKVT,,,QRNVP,,,QRNIP,,,QQNIP,,,QRKVT,,,RQNVP,,
MT145,68.18991098,41.11768573,44.59930314,44.65290807,29.69543147,32.67973856,18.51742759,14.65075155,19.52705776,34.14721724,28.73076923,26.57657658,27.92022792,26.32653061,24.75809142,34.64140731,32.98455406,31.51815181,47.58738278,26.51763537,35.428051,44.23076923,29.03508772,38.05516596,24.36026936,23.50244269,26.32850242,40.77548468,36.64259928,34.76190476
MB897,38.79327399,17.88297173,23.17073171,24.8905566,13.02876481,15.2124183,6.097201767,3.846153846,5.575261482,15.09275883,10.43589744,9.977477478,9.05982906,8.217687075,7.594260928,1.371222373,1.654210264,3.655115512,0.915601023,0.596125186,0.710382514,17.54985755,10.83333333,15.7082749,0.28956229,0.136039083,0.39452496,12.89555972,14.90974729,10.54945055
EK505,50.56379822,29.59894806,33.84436702,37.02313946,24.69543147,26.0620915,13.64752086,8.541114058,13.52432924,19.4374626,17.02564102,16.22372372,13.33333334,13.77551021,14.45445445,33.82949932,36.57199801,31.76567657,60.35805627,32.38946846,38.16029144,35.51282052,23.53508772,31.13604488,20.75757576,17.38444194,23.1078905,35.88492808,41.03489771,29.60927961
TAN2,63.50148368,31.80802104,49.47735192,27.02939337,18.65482233,22.14869281,12.07658321,7.577365164,9.486130058,14.75763016,11.01282051,11.36636637,10.14245014,8.517006803,7.200533867,0.423996392,0.084703538,1.245874587,0.160272805,0.079483358,0.100182149,27.03703704,15.80701754,22.6741468,0.137205387,0.053363397,0.128019323,2.464040025,1.901323706,1.660561661
LB715,70.22749753,32.82051282,37.97909408,37.37335835,20.56683587,23.70098039,16.21011291,7.842617153,9.795361527,21.69958109,16.25641025,15.55555555,18.06267806,13.3877551,11.95862529,35.81416329,29.15794718,28.87788779,58.82352941,26.130154,33.51548269,38.97435898,19.31578948,24.16082281,20.15151515,13.4460729,18.87278583,33.83364603,33.71841155,26.55677656
BF1167,46.03363007,51.0190664,45.52845529,18.18636648,22.5465313,13.30065359,4.752086401,5.181255526,4.138244656,14.01555954,21.93589744,12.75525526,10.09361009,17.82993197,8.862195529,0.811907984,0.321873443,2.136963697,0.127877238,0.212617983,0.12568306,16.99430199,21.71929825,14.34315101,0.152356902,0.260804209,0.140096618,8.167604753,4.139590854,6.752136752
GAB2,34.3818002,16.98882314,22.18350755,12.14509068,6.040609137,7.222222222,3.888070692,1.909814324,2.582992269,8.198683423,5.846153846,6.291291291,4.843304843,5.19047619,4.597931265,13.96481732,7.962132536,13.99339934,11.98635976,6.53750621,8.096539162,9.729344728,4.868421053,6.610565685,7.104377104,4.441939121,6.054750403,16.19762351,11.2755716,11.20879121
TAN13,27.55687438,14.67455622,20.42973287,12.24515322,8.866328256,9.795751634,5.144820815,2.113174182,2.974079127,5.52962298,4.512820513,4.6996997,3.451363452,3.163265306,3.083083083,1.52458277,0.206278027,2.566006601,0.347826087,0.179831098,0.116575592,11.50997151,8.061403509,8.387096774,0.313973064,0.172115746,0.119967794,1.288305191,0.565583634,0.561660562
