,Human,,,QRNIP,,,RQNVP,,,QRNVP,,,QQKVP,,,QQNIP,,,QQKVT,,,QRKVT,,
SIVsmmFTq,41.4381474710542,50.3465346534653,44.6315789473684,0.99780701754386,0.531468531468531,0.705998033431662,3.82066276803119,4.04081632653061,3.13099041533546,1.38118542686243,0.870870870870871,0.519323671497584,1.17370892018779,0.752475247524753,0.73030303030303,2.73730684326711,1.17013086989992,1.30248500428449,1.71029668411867,1.368487131199,1.15384615384615,0.982142857142857,0.716845878136201,0.81586402266289
SIVsmmSL92b,45.3382084095064,47.9372937293729,51.0877192982456,2.80701754385965,2.7039627039627,3.04818092428712,13.8011695906433,15.5510204081633,16.8264110756124,3.94779771615008,3.82882882882883,2.72946859903382,8.47417840375587,9.15291529152915,6.54545454545454,8.83002207505519,9.4072363356428,8.08911739502999,10.6369982547993,9.52919020715631,7.93589743589744,5.26785714285714,5.7921146953405,6.0056657223796
SIVascRT11,31.7001828153565,35.016501650165,27.9766081871345,12.7412280701754,13.8150738150738,5.91937069813176,16.2670565302144,15.4149659863946,14.1214057507987,15.2909189777053,15,6.71497584541063,13.9201877934272,13.949394939494,8.24242424242424,17.0066225165563,21.2317167051578,11.9451585261354,16.1431064572426,13.9234149403641,8.14102564102564,9.94047619047619,10.594982078853,5.72237960339943
SIVlst,48.3851310176721,49.6204620462046,53.4736842105263,0.81140350877193,0.657342657342657,0.924287118977384,18.3040935672515,19.3061224489796,24.4941427050053,1.37030995106036,0.945945945945946,1.11111111111111,23.5328638497653,24.4224422442244,25.3636363636364,24.9183222958057,32.1016166281755,28.3804627249357,28.7958115183246,20.0376647834275,25,1.65674603174603,1.86379928315412,1.39754485363551
SIVagm,23.8269347958562,31.3531353135313,23.8362573099415,0.412280701754386,0.368298368298368,0.395280235988201,3.72319688109162,4.46258503401361,4.40894568690096,0.728656878738445,1.02102102102102,0.898550724637681,19.037558685446,32.2772277227723,20.9393939393939,6.90507726269316,11.8090839107005,8.19194515852614,24.5026178010471,29.0772128060264,20.8589743589744,0.436507936507936,0.788530465949821,1.15203021718602
SIVwrc GM05,54.1133455210238,57.9207920792079,60.46783625731,4.13377192982456,4.67754467754468,3.30383480825959,22.8070175438596,27.6054421768707,35.5484558040469,5.3942359978249,6.23123123123123,4.10628019323671,35.4107981220657,42.1342134213421,36.4848484848485,42.2075055187638,60.2001539645882,64.9528706083976,44.2408376963351,44.6955430006278,41.7948717948718,1.20039682539683,1.93548387096774,1.62417374881964
